ticker,10year,fundname,social,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Impact
NSFHX,6.56,Natixis Sustainable Future 2040 Fund,--,--,--,--,--,No
NSFJX,--,Natixis Sustainable Future 2045 Fund,--,--,--,--,--,No
NSFKX,12.36,Natixis Sustainable Future 2050 Fund,--,--,--,--,--,No
NSFLX,12.94,Natixis Sustainable Future 2055 Fund,--,--,--,--,--,No
NSFMX,--,Natixis Sustainable Future 2060 Fund,--,--,--,--,--,No
NBSRX,13.44,Neuberger Berman Socially Resp Inv,P,P,P,P,X,No
NRARX,13.89,Neuberger Berman Socially Resp R3,P,P,P,P,X,No
NBSTX,13.68,Neuberger Berman Socially Resp Tr,P,P,P,P,X,No
NRAAX,13.49,Neuberger Berman Socially Responsive A,P,P,P,P,X,No
NRACX,13.46,Neuberger Berman Socially Responsive C,P,P,P,P,X,No
NBSLX,12.61,Neuberger Berman Socially Responsive I,P,P,P,P,P,No
NALFX,13.19,New Alternatives Fund A Shares,P,P,P,P,X,No
NAEFX,--,New Alternatives Fund Investor Shares,P,P,P,P,X,No
PRBLX,--,Parnassus Core Equity Fund,P,P,P,P,R,Yes
PARWX,--,Parnassus Endeavor Fund,P,P,P,P,R,Yes
PRFIX,--,Parnassus Fixed Income Fund,P,P,P,P,R,Yes
PARMX,--,Parnassus Mid Cap Fund,P,P,P,P,R,Yes
PARNX,--,Parnassus Mid Cap Growth Fund,P,P,P,P,R,Yes
PAXBX,--,Pax Core Bond Fund Individual,C,C,C,C,R,Yes
PXBIX,--,Pax Core Bond Fund Institutional,C,C,C,C,R,Yes
PXWEX,--,Pax Ellevate Global Women's Leadership Fund - Individual Investor,C,C,C,C,--,Yes
PXWIX,--,Pax Ellevate Global Women's Leadership Fund - Institutional Class,C,C,C,C,--,Yes
PAXDX,13.17,Pax ESG Beta Dividend Fund Individual,--,C,C,C,R,Yes
PXDIX,15.5,Pax ESG Beta Dividend Fund Institutional,--,C,C,C,R,Yes
PXGAX,17.71,Pax ESG Beta Quality Fund - Class A,C,C,C,C,R,Yes
PXWGX,--,Pax ESG Beta Quality Fund - Individual Investor,C,C,C,C,R,Yes
PWGIX,--,Pax ESG Beta Quality Fund - Institutional Investor,C,C,C,C,R,Yes
PGRNX,5.23,Pax Global Environmental Markets Fund - Individual Investor,C,C,C,C,R,Yes
PGINX,9.75,Pax Global Environmental Markets Fund - Institutional Class,C,C,C,C,R,Yes
PXEAX,--,Pax Global Environmental Markets Fund A,C,C,C,C,R,Yes
PAXHX,9.49,Pax High Yield Bond Fund - Individual Investor,C,C,C,C,R,Yes
PXHIX,--,Pax High Yield Bond Fund - Institutional Investor,C,C,C,C,R,Yes
PXHAX,--,Pax High Yield Bond Fund A,C,C,C,C,R,Yes
PAXLX,12.75,Pax Large Cap Fund Individual,C,C,C,C,R,Yes
PXLIX,12.47,Pax Large Cap Fund Intitutional,C,C,C,C,R,Yes
PXINX,1.87,Pax MSCI EAFE ESG Leaders Index Fund - Individual Investor,C,C,C,C,--,Yes
PXNIX,12.59,Pax MSCI EAFE ESG Leaders Index Fund - Institutional Class,C,C,C,C,--,Yes
PXSCX,16.03,Pax Small Cap Fund - Individual Investor,C,C,C,C,R,Yes
PXSIX,2.42,Pax Small Cap Fund - Institutional Class,C,C,C,C,R,Yes
PXSAX,--,Pax Small Cap Fund A,C,C,C,C,R,Yes
PAXWX,14.04,Pax Sustainable Allocation Fund - Individual Investor,C,C,C,C,R,Yes
PAXIX,--,Pax Sustainable Allocation Fund - Institutional Investor,C,C,C,C,R,Yes
PCEIX,--,PIMCO Climate Bond Fund,P,C,R,R,R,*
PEGIX,--,PIMCO ESG Income Fund,P,C,R,R,R,No
PLDIX,--,PIMCO Low Duration ESG Fund,P,C,R,R,R,No
PTSAX,--,PIMCO Total Return ESG Fund,P,C,R,R,R,No
