Ticker,Key,Climate/Clean Tech,Pollution/Toxics,Environment/Other,Community Development,Diversity & EEO,Human Rights,Labor Relations,Conflict Risk,Board Issues,Executive Pay,E,E,E,E,E,E,E
CCMNX,CCM Alternative Income Fund,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,--,--
CHGX,Change Finance U.S. Large Cap Fossil Fuel Free ETF,C *,C,C,--,C,C,C,--,C,C,--,C,R,--,R,,
LCILX,ClearBridge Sustainability Leaders Fund (IS shares),P,C,P,P,P,P,C,R,P,--,R,P,R,R,R,,
CRAIX,CRA Qualified Investment - CRA,P *,P,P,P,P,--,--,--,--,--,R,R,R,R,R,--,--
CRANX,CRA Qualified Investment - Institutional,P *,P,P,P,P,--,--,--,--,--,X,X,X,X,X,--,--
CRATX,CRA Qualified Investment - Retail,P *,P,P,P,P,--,--,--,--,--,X,X,X,X,X,--,--
DOMAX,Domini International Social Equity Fund -- A shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
DOMOX,Domini International Social Equity Fund -- Institutional shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
DOMIX,Domini International Social Equity Fund -- Investor shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
DSBFX,Domini Social Bond Fund - Investor shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
DSBIX,Domini Social Bond Fund -- Institutional shares,C *,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
DSEPX,Domini Social Equity Fund -- A shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
DIEQX,Domini Social Equity Fund -- Institutional shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
DSEFX,Domini Social Equity Fund -- Investor shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
DSFRX,Domini Social Equity Fund -- R shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,,
EMNT,Enhanced Short Maturity Active ESG Exchange-Traded Fund,C *,R,C,P,C,R,R,R,C,P,R,R,R,R,R,,
ETHO,Etho Climate Leadership US ETF,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SRIFX,FundX Sustainable Impact Equity,--,--,--,--,--,R,--,--,--,--,--,--,--,--,X,--,--
GCBLX,Green Century Balanced,C *,R,C,P,C,C,P,--,C,C,R,X,X,R,X,,
GCEQX,Green Century Equity,C *,R,C,--,C,C,C,--,C,P,X,R,X,X,X,,
GCIFX,Green Century MSCI International Index Fund - Institution,C *,R,C,--,C,C,C,--,C,C,X,R,X,X,X,--,
GCINX,Green Century MSCI International Index Fund - Investor,C *,R,C,--,C,C,C,--,C,C,X,R,X,X,X,--,
MGGYX,Mirova Global Green Bond Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ESGMX,Mirova Global Sustainable Equity Fund - Class A,P,X,C,C,P,R,C,--,C,C,--,--,--,--,--,--,--
ESGYX,Mirova Global Sustainable Equity Fund - Class Y,P,R,C,C,P,R,C,--,C,C,R,--,R,C,R,--,
MRVYX,Mirova International Sustainable Equity Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFBX,Natixis Sustainable Future 2015 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFDX,Natixis Sustainable Future 2020 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFEX,Natixis Sustainable Future 2025 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFGX,Natixis Sustainable Future 2030 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFGX,Natixis Sustainable Future 2035 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFHX,Natixis Sustainable Future 2040 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFJX,Natixis Sustainable Future 2045 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFKX,Natixis Sustainable Future 2050 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFLX,Natixis Sustainable Future 2055 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NSFMX,Natixis Sustainable Future 2060 Fund,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NBSRX,Neuberger Berman Socially Resp Inv,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X,,
NRARX,Neuberger Berman Socially Resp R3,C,C,P,P,P,P,P,X,P,P,X,R,X,X,X,,
NBSTX,Neuberger Berman Socially Resp Tr,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X,,
NRAAX,Neuberger Berman Socially Responsive A,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X,,
NRACX,Neuberger Berman Socially Responsive C,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X,,
NBSLX,Neuberger Berman Socially Responsive I,C,C,C,P,P,P,P,P,P,P,X,R,X,X,X,,
NALFX,New Alternatives Fund A Shares,P *,R,P,P,P,P,P,X,P,P,X,P,R,R,R,--,
NAEFX,New Alternatives Fund Investor Shares,P *,R,P,P,P,P,P,X,P,P,R,R,R,R,--,--,
PRBLX,Parnassus Core Equity Fund,P *,P,P,P,P,P,P,R,P,P,R,P,R,R,R,,
PARWX,Parnassus Endeavor Fund,P *,P,P,P,P,P,P,R,P,P,R,P,R,R,R,,
PRFIX,Parnassus Fixed Income Fund,P *,P,P,P,P,P,P,R,P,P,R,P,R,R,R,,
PARMX,Parnassus Mid Cap Fund,P *,P,P,P,P,P,P,R,P,P,R,P,R,R,R,,
PARNX,Parnassus Mid Cap Growth Fund,P *,P,P,P,P,P,P,R,P,P,R,P,R,R,R,,
PAXBX,Pax Core Bond Fund Individual,--,--,C,C,C,C,C,R,C,C,C,C,X,--,X,--,
PXBIX,Pax Core Bond Fund Institutional,--,--,C,C,C,C,C,R,C,C,C,C,X,--,X,--,
PXWEX,Pax Ellevate Global Women's Leadership Fund - Individual Investor,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R,--,
